flight_name,has_cruise
687200105031030.mat,True
687200109111035.mat,False
687200105010954.mat,False
687200108281006.mat,True
687200109071716.mat,True
687200104231404.mat,False
687200104300342.mat,True
687200108111136.mat,True
687200107240550.mat,False
687200108101457.mat,False
687200108182004.mat,False
687200107040534_1.mat,False
687200108310535.mat,False
687200108251233.mat,True
687200108230815.mat,True
687200104120604.mat,True
687200108122305.mat,False
687200108101735.mat,True
687200109081552.mat,False
687200108150546.mat,True
687200107300558.mat,True
687200109032015.mat,False
687200108301028.mat,False
687200107231020.mat,True
687200108171238.mat,True
687200109131253.mat,False
687200107101600.mat,True
687200105031623.mat,True
687200104231029.mat,True
687200108031344.mat,False
687200105031353.mat,True
687200108261246.mat,True
687200107311656.mat,False
687200107141152.mat,True
687200109072034.mat,True
687200109051606.mat,False
687200104181801.mat,True
687200108151249.mat,False
687200108200900.mat,False
687200104211528.mat,True
687200107090737.mat,True
687200107050507.mat,True
687200108021547.mat,False
687200104130953.mat,True
687200108011451.mat,True
687200108310913.mat,False
687200108150357.mat,False
687200107291450.mat,True
687200104241309.mat,False
687200109091346.mat,False
687200108021021.mat,True
687200108260947.mat,False
687200109061704.mat,False
687200104151149.mat,True
687200107192334.mat,True
687200107251502.mat,False
687200107171859.mat,True
687200108260827.mat,False
687200104241057.mat,False
687200104261350.mat,False
687200107271412.mat,True
687200107111404.mat,False
687200109011816.mat,True
687200107201136.mat,False
687200107122025.mat,True
687200108140743.mat,True
687200109031052.mat,False
687200107041019.mat,False
687200107291928.mat,False
687200107270532.mat,False
687200109070740.mat,False
687200109111355.mat,False
687200104211311.mat,True
687200107171131.mat,False
687200104161114.mat,True
687200107150712.mat,True
687200109120759.mat,True
687200108291001.mat,False
687200108162131.mat,False
687200109061936.mat,False
687200108231923.mat,True
687200109041600.mat,True
687200107281124.mat,False
687200104202027.mat,True
687200108232225.mat,False
687200107240754.mat,False
687200108230436.mat,True
687200107061150_1.mat,True
687200104301258.mat,False
687200108290643.mat,True
687200108180615.mat,True
687200107061252.mat,False
687200107212204.mat,False
687200107300827.mat,False
687200104151616.mat,False
687200109081811.mat,True
687200107091957.mat,False
687200107271827.mat,True
687200109051749.mat,False
687200108271708.mat,True
687200107111616.mat,True
687200108271913.mat,False
687200107301654.mat,True
687200108311215.mat,False
687200107210928_1.mat,True
687200107170954.mat,False
687200104111637.mat,True
687200104231205.mat,False
687200104250823.mat,False
687200107051019.mat,True
687200107190651.mat,True
687200107171444.mat,False
687200104130148.mat,False
687200109011620.mat,False
687200109011152.mat,False
687200107250803.mat,False
687200109140645.mat,False
687200107061455.mat,True
687200107280607.mat,True
687200109110853.mat,True
687200104151818.mat,True
687200109041349.mat,False
687200107161247.mat,True
687200109040731.mat,False
687200109101751.mat,False
687200109070433.mat,False
687200107041424.mat,False
687200107310823.mat,True
687200104300621.mat,False
687200109040533.mat,False
687200107170148.mat,False
687200107250550.mat,True
687200108161629.mat,True
687200107112042.mat,True
687200105011440.mat,False
687200104191141.mat,False
687200109101035.mat,True
687200104251652.mat,False
687200108221706.mat,True
687200107171917.mat,False
687200108282052.mat,True
687200103200323.mat,False
687200109041217.mat,False
687200108080010.mat,True
687200109051038.mat,True
687200108101254.mat,True
687200104242000.mat,False
687200108300643.mat,False
687200109051951.mat,False
687200107081945.mat,False
687200107220855.mat,False
687200104221014.mat,True
687200104150655.mat,True
687200109130613.mat,False
687200108121436.mat,True
687200108131631.mat,True
687200108202243.mat,True
687200107251920.mat,True
687200104300756.mat,False
687200108271246.mat,True
687200107311445.mat,True
687200107260733.mat,False
687200104261633.mat,False
687200109091553.mat,True
687200107260900.mat,False
687200108131235.mat,False
687200107091606.mat,True
687200109021333.mat,False
687200108181535.mat,False
687200104121330.mat,True
687200107161536.mat,True
687200104151402.mat,True
687200104231428.mat,False
687200108051927.mat,False
687200104180924.mat,False
687200107140922.mat,True
687200104141822.mat,True
687200108061827.mat,True
687200107311224.mat,True
687200104181334.mat,True
687200109061228.mat,False
687200109062053.mat,False
687200109021624.mat,False
687200108270507.mat,True
687200107061223.mat,False
687200107171742.mat,False
687200105011618.mat,False
687200107080750.mat,True
687200107211146.mat,True
687200108301507.mat,False
687200107051928.mat,False
687200107201619.mat,False
687200105021334.mat,False
687200108042135.mat,False
687200107192022.mat,True
687200109021023.mat,False
687200107101111.mat,True
687200104251231.mat,True
687200104200718.mat,True
687200109030853.mat,False
687200104171603.mat,True
687200107061632.mat,True
687200104192017.mat,True
687200107280845.mat,True
687200104291203.mat,True
687200108141159.mat,True
687200108181341.mat,False
687200108160801.mat,True
687200107151336.mat,True
687200103200350.mat,False
687200108140455.mat,False
687200108191740.mat,True
687200109131813.mat,True
687200108170757.mat,True
687200108201857.mat,True
687200108151000.mat,True
687200104250715.mat,False
687200107131603.mat,False
687200104221850.mat,False
687200108020823.mat,True
687200107281620.mat,False
687200104250918.mat,False
687200108310743.mat,False
687200108182058.mat,False
687200107311025.mat,True
687200108052053.mat,False
687200108132016.mat,False
687200107101259.mat,False
687200108142308.mat,False
687200107070517.mat,False
687200109011445.mat,False
687200107151532.mat,True
687200108171715.mat,False
687200107231242.mat,False
687200108142136.mat,False
687200107231733.mat,False
687200107142017.mat,False
687200104160916.mat,False
687200108260448.mat,True
687200107060507.mat,True
687200107212101.mat,False
687200104160719.mat,False
687200108311716.mat,True
687200109140804.mat,True
687200108302018.mat,False
687200104170913.mat,False
687200109060530.mat,False
687200107171608.mat,False
687200107302138.mat,True
687200104120922.mat,False
687200104210454.mat,True
687200107161023.mat,False
687200107201743.mat,False
687200108272128.mat,True
687200108232242.mat,False
687200107292117.mat,True
687200107240904.mat,False
687200107141452.mat,True
687200109140009.mat,False
687200105020400.mat,True
687200107180742.mat,True
687200108271025.mat,True
687200104201603.mat,True
687200107100744.mat,True
687200109131035.mat,True
687200107302302.mat,True
687200109070531.mat,False
687200104152037.mat,False
687200108011230.mat,True
687200108151600.mat,False
687200107291231.mat,True
687200107041725.mat,True
687200104231716.mat,True
687200108081421.mat,True
687200108151416.mat,False
687200104210727.mat,False
687200104221459.mat,False
687200104270602.mat,False
687200109061011.mat,False
687200108041956.mat,False
687200109031632.mat,True
687200108111634.mat,False
687200109111509.mat,True
687200108151953.mat,True
687200109050757.mat,True
687200105030404.mat,True
687200109030935.mat,False
687200109091121.mat,True
687200109051305.mat,True
687200108091234.mat,True
687200109111709.mat,True
687200104131343.mat,False
687200108191220.mat,False
687200108020602.mat,True
687200104261527.mat,False
687200104291830.mat,True
687200107122323.mat,True
687200107281342.mat,False
687200107281430.mat,False
687200107251349.mat,False
687200104280530.mat,False
687200107131405.mat,False
687200108181225.mat,False
687200104181127.mat,True
687200104251037.mat,True
687200107132050.mat,False
687200104160508.mat,False
687200107221719.mat,False
687200107061150.mat,True
687200108081635.mat,True
687200104182016.mat,False
687200108110851.mat,True
687200107221526.mat,False
687200109031235.mat,False
687200104121757.mat,False
687200108210803.mat,True
687200107251002.mat,False
687200104111441.mat,False
687200107040858_1.mat,False
687200107060930.mat,True
687200104161603.mat,True
687200107221903.mat,True
687200109020847.mat,False
687200109071215.mat,False
687200108100909.mat,False
687200107092152.mat,True
687200104290534.mat,True
687200107301033.mat,False
687200109100620.mat,True
687200107131151.mat,False
687200108192043.mat,True
687200108120829.mat,True
687200108231022.mat,True
687200109132137.mat,False
687200108120626.mat,True
687200105011836.mat,True
687200108081229.mat,True
687200108021841.mat,True
687200104170717.mat,True
687200104201803.mat,True
687200107271447.mat,False
687200104231533.mat,False
687200108101945.mat,False
687200108061041.mat,False
687200105011228.mat,True
687200108281858.mat,False
687200107131756.mat,False
687200109071351.mat,True
687200107301413.mat,False
687200104291544.mat,False
687200107060733.mat,True
687200108091629.mat,False
687200107111848.mat,True
687200104240902.mat,False
687200107121800.mat,False
687200107270413.mat,False
687200109020526.mat,True
687200107281824.mat,True
687200109101259.mat,True
687200108151753.mat,False
687200104171754.mat,True
687200107101913.mat,True
687200108171456.mat,True
687200108051235.mat,True
687200107121619.mat,False
687200104140748.mat,False
687200107050751.mat,True
687200105021128.mat,True
687200108100640.mat,True
687200107311825.mat,False
687200104141536.mat,True
687200108310414.mat,False
687200108311044.mat,False
687200108091830.mat,False
687200109111100.mat,True
687200108090737.mat,True
687200109041737.mat,False
687200108171244.mat,True
687200104200908.mat,False
687200107150712_1.mat,True
687200107041258.mat,False
687200104260757.mat,True
687200104170503.mat,False
687200107241949.mat,True
687200109121203.mat,True
687200107082004.mat,True
687200104141245.mat,True
687200104220617.mat,False
687200109022050.mat,True
687200107182038.mat,True
687200107081257.mat,False
687200108231430.mat,True
687200105031312.mat,False
687200108281250.mat,True
687200107271054.mat,False
687200108031503.mat,False
687200105010531.mat,True
687200105020343.mat,False
687200107150546.mat,True
687200109031414.mat,False
687200108081029.mat,False
687200107120738.mat,False
687200107050507_1.mat,True
687200105020637.mat,False
687200109131404.mat,True
687200107151106.mat,False
687200107120933.mat,False
687200108311135.mat,False
687200104221451.mat,False
687200107221129.mat,False
687200108232115.mat,True
687200104250451.mat,False
687200107271124.mat,True
687200108080910.mat,False
687200109010958.mat,False
687200104171143.mat,False
687200109061347.mat,False
687200107210928.mat,True
687200107152208.mat,True
687200107081722.mat,True
687200107150423.mat,False
687200108312039.mat,True
687200108031658.mat,False
687200104261316.mat,False
687200108191405.mat,True
687200108232302.mat,True
687200109121945.mat,False
687200108051609.mat,False
687200107041424_1.mat,False
687200108211901.mat,True
687200104200501.mat,True
687200108060832.mat,False
687200107201401.mat,True
687200108111749.mat,False
687200107191135.mat,True
687200108130817.mat,True
687200108221034.mat,False
687200107191337.mat,True
687200107220020.mat,False
687200109091843.mat,False
687200108251712.mat,True
687200108012108.mat,True
687200107121347.mat,True
687200109061542.mat,False
687200108190335.mat,False
687200107120501.mat,True
687200107082004_1.mat,True
687200107121151.mat,True
687200108041752.mat,False
687200107301239.mat,False
687200104221308.mat,False
687200108171915.mat,True
687200108090527.mat,False
687200105021648.mat,False
687200107312325.mat,True
687200108220512.mat,True
687200108262047.mat,True
687200104140606.mat,False
687200108161904.mat,True
687200107210730.mat,True
687200108171530.mat,True
687200104260744.mat,False
687200104141732.mat,True
687200109021748.mat,False
687200108201708.mat,True
687200109060729.mat,False
687200108021448.mat,False
687200107261123.mat,True
687200108211719.mat,True
687200104161811.mat,True
687200104171357.mat,False
687200105030744.mat,True
687200109070923.mat,False
687200109040957.mat,False
687200107282131.mat,True
687200108231218.mat,True
687200109081110.mat,False
687200107112001.mat,False
687200104251413.mat,False
687200108112135.mat,False
687200104191818.mat,False
687200107190924.mat,True
687200108212101.mat,True
687200104221622.mat,False
687200104190904.mat,True
687200108051533.mat,False
687200108082025.mat,False
687200107241135.mat,False
687200108202110.mat,True
687200108192356.mat,True
687200107181544.mat,True
687200108251428.mat,True
687200107090307.mat,False
687200109040449.mat,False
687200107170754.mat,False
687200104231237.mat,False
687200108181840.mat,False
687200108281634.mat,False
687200108211227.mat,True
687200109120431.mat,True
687200104201336.mat,True
687200107241524.mat,False
687200108222148.mat,True
687200109130805.mat,True
687200108261703.mat,True
687200109110531.mat,False
687200108022331.mat,False
687200108291625.mat,False
687200108030906.mat,False
687200108031239.mat,False
687200109101945.mat,False
687200107061512.mat,False
687200105020337.mat,False
687200108300909.mat,False
687200108190408.mat,False
687200108261449.mat,True
687200108211435.mat,True
687200107161937.mat,False
687200107140721.mat,True
687200108261844.mat,True
687200108092009.mat,True
687200104162039.mat,True
687200108182218.mat,False
687200104240552.mat,True
687200109090535.mat,True
687200107271552.mat,False
687200104190522.mat,False
687200108180802.mat,True
687200108280702.mat,True
687200107191754.mat,True
687200104210946.mat,True
687200104131515.mat,False
687200108290920.mat,False
687200107040858.mat,False
687200107081023.mat,True
687200109030634.mat,True
687200107180301.mat,False
687200108122130.mat,False
687200105020917.mat,False
687200107221238.mat,False
687200109081217.mat,False
687200107271157.mat,False
687200107111155.mat,False
687200107081257_1.mat,False
687200108140548.mat,False
687200104191359.mat,False
687200107040534.mat,False
687200108161343.mat,True
687200104190709.mat,True
687200107241645.mat,False
687200107091806.mat,True
687200104172015.mat,False
687200104241329.mat,False
687200104140925.mat,True
687200108072101.mat,True
687200109071047.mat,False
687200108220827.mat,False
687200104230739.mat,True
687200107251132.mat,False
687200109081405.mat,False
687200108141508.mat,True
687200104291652.mat,False
687200107202208.mat,True
687200107150247.mat,False
687200108301635.mat,True
687200109111953.mat,False
687200108031000.mat,False
687200104191611.mat,True
687200108131014.mat,True
687200107150938.mat,False
687200109010640.mat,True
687200108201423.mat,True
687200109130547.mat,False
687200107100909.mat,True
687200107170236.mat,False
687200108191103.mat,False
687200109090849.mat,True
687200108131410.mat,False
687200108271503.mat,True
687200104120347.mat,False
687200108022120.mat,False
687200105031822.mat,False
687200107091234.mat,True
687200108270807.mat,True
687200107040653.mat,False
687200104111158.mat,True
687200104161332.mat,True
687200107261816.mat,False
687200108171021.mat,True
687200109101604.mat,False
687200107291717.mat,True
687200107160756.mat,False
687200107081437.mat,True
687200108121010.mat,False
687200107231358.mat,False
687200104181601.mat,True
687200107190506.mat,False
687200107062021.mat,False
687200108121212.mat,True
687200104180735.mat,False
687200104231344.mat,False
687200107312026.mat,True
687200107211513.mat,True
687200107241324.mat,False
687200108221241.mat,True
687200108152217.mat,True
687200108231722.mat,False
687200104281446.mat,True
687200108051720.mat,False
687200108051046.mat,True
687200104121106.mat,True
687200108180409.mat,False
687200107201925.mat,True
687200104180521.mat,False
687200108061344.mat,True
687200109021449.mat,False
687200107081435.mat,False
687200109121449.mat,True
687200108141651.mat,True
687200108011714.mat,False
687200107261425.mat,True
687200108201232.mat,True
687200107152043.mat,False
687200107181233.mat,True
687200108211009.mat,False
687200104130631.mat,False
687200107190841.mat,False
687200109080640.mat,True
687200108161026.mat,True
687200107181757.mat,True
687200107191550.mat,True
687200107270703.mat,False
687200107301844.mat,True
687200109121702.mat,True
687200108291152.mat,False
687200108011926.mat,True
687200108061219.mat,False
687200109112135.mat,True
687200108091101.mat,True
687200104301119.mat,False
687200107170234.mat,False
687200104201125.mat,True
687200104261028.mat,True
687200104290947.mat,True
687200107061223_1.mat,False
687200108301435.mat,False
687200104211915.mat,False
687200108172107.mat,False
687200108311342.mat,True
687200104121649.mat,False
687200107251652.mat,True
