Parameter,Description,Units,Rate_Hz,Samples
VAR_1107,SYNC WORD FOR SUBFRAME 1,<units>,0.25,31
VAR_2670,SYNC WORD FOR SUBFRAME 2,<units>,0.25,31
VAR_5107,SYNC WORD FOR SUBFRAME 3,<units>,0.25,31
VAR_6670,SYNC WORD FOR SUBFRAME 4,<units>,0.25,31
FPAC,FLIGHT PATH ACCELERATION,G,16,1984
BLAC,BODY LONGITUDINAL ACCELERATION,G,16,1984
CTAC,CROSS TRACK ACCELERATION,G,16,1984
TH,TRUE HEADING LSP,DEG,4,496
MH,MAGNETIC HEADING LSP,DEG,4,496
EGT_1,EXHAUST GAS TEMPERATURE 1,DEG,4,496
EGT_2,EXHAUST GAS TEMPERATURE 2,DEG,4,496
EGT_3,EXHAUST GAS TEMPERATURE 3,DEG,4,496
EGT_4,EXHAUST GAS TEMPERATURE 4,DEG,4,496
IVV,INERTIAL VERTICAL SPEED LSP,FT/MIN,16,1984
GS,GROUND SPEED LSP,KNOTS,4,496
TRK,TRACK ANGLE TRUE LSP,DEG,4,496
TRKM,TRACK ANGLE MAG LSP,DEG,4,496
DA,DRIFT ANGLE,DEG,4,496
POVT,ERROR,ERROR,ERROR,ERROR
WS,WIND SPEED,KNOTS,4,496
MW,ERROR,ERROR,ERROR,ERROR
DFGS,ERROR,ERROR,ERROR,ERROR
WD,WIND DIRECTION TRUE,DEG,4,496
ALT,PRESSURE ALTITUDE LSP,FEET,4,496
NSQT,ERROR,ERROR,ERROR,ERROR
RALT,RADIO ALTITUDE LSP,FEET,8,992
ALTR,ALTITUDE RATE,FT/MIN,4,496
FQTY_1,FUEL QUANTITY TANK 1 LSB,LBS,1,124
OIT_1,OIL TEMPERATURE 1,DEG,1,124
OIT_2,OIL TEMPERATURE 2,DEG,1,124
AOA1,ANGLE OF ATTACK 1,DEG,4,496
AOA2,ANGLE OF ATTACK 2,DEG,4,496
PTCH,PITCH ANGLE LSP,DEG,8,992
FF_1,FUEL FLOW 1,LBS/HR,4,496
PSA,AVARAGE STATIC PRESSURE LSP,MB,2,248
FF_2,FUEL FLOW 2,LBS/HR,4,496
FF_3,FUEL FLOW 3,LBS/HR,4,496
ROLL,ROLL ANGLE LSP,DEG,8,992
FF_4,FUEL FLOW 4,LBS/HR,4,496
N1_1,FAN SPEED 1 LSP,%RPM,4,496
N1_2,FAN SPEED 2 LSP,%RPM,4,496
MACH,MACH LSP,MACH,4,496
CAS,COMPUTED AIRSPEED LSP,KNOTS,4,496
APFD,ERROR,ERROR,ERROR,ERROR
PH,ERROR,ERROR,ERROR,ERROR
CASM,MAX ALLOWABLE AIRSPEED,KNOTS,4,496
TAS,TRUE AIRSPEED LSP,KNOTS,4,496
VRTG,VERTICAL ACCELERATION,G,8,992
LATG,LATERAL ACCELERATION,G,4,496
PI,IMPACT PRESSURE LSP,MB,2,248
PS,STATIC PRESSURE LSP,IN,2,248
N1_3,FAN SPEED 3 LSP,%RPM,4,496
EVNT,ERROR,ERROR,ERROR,ERROR
MRK,ERROR,ERROR,ERROR,ERROR
VIB_1,ENGINE VIBRATION 1,IN/SEC,4,496
PT,TOTAL PRESSURE LSP,MB,2,248
VHF1,ERROR,ERROR,ERROR,ERROR
VHF2,ERROR,ERROR,ERROR,ERROR
LGDN,ERROR,ERROR,ERROR,ERROR
LGUP,ERROR,ERROR,ERROR,ERROR
VIB_2,ENGINE VIBRATION 2,IN/SEC,4,496
VHF3,ERROR,ERROR,ERROR,ERROR
PUSH,ERROR,ERROR,ERROR,ERROR
SHKR,ERROR,ERROR,ERROR,ERROR
MSQT_2,ERROR,ERROR,ERROR,ERROR
VIB_3,ENGINE VIBRATION 3,IN/SEC,4,496
LONG,LONGITUDINAL ACCELERATION,G,4,496
PLA_1,POWER LEVER ANGLE 1,DEG,4,496
N1_4,FAN SPEED 4 LSP,%RPM,4,496
HYDY,ERROR,ERROR,ERROR,ERROR
HYDG,ERROR,ERROR,ERROR,ERROR
SMOK,ERROR,ERROR,ERROR,ERROR
CALT,ERROR,ERROR,ERROR,ERROR
VIB_4,ENGINE VIBRATION 4,IN/SEC,4,496
PLA_2,POWER LEVER ANGLE 2,DEG,4,496
PLA_3,POWER LEVER ANGLE 3,DEG,4,496
PLA_4,POWER LEVER ANGLE 4,DEG,4,496
GMT_HOUR,GREENWICH MEAN TIME (HOUR),Hour,2,248
GMT_MINUTE,GREENWICH MEAN TIME (MINUTE),Minute,2,248
GMT_SEC,GREENWICH MEAN TIME (SECOND),Second,2,248
ACMT,ERROR,ERROR,ERROR,ERROR
FQTY_2,FUEL QUANTITY TANK 2 LSB,LSB,1,124
OIT_3,OIL TEMPERATURE 3,DEG,1,124
OIT_4,OIL TEMPERATURE 4,DEG,1,124
DATE_YEAR,Date (Year),Year,0.25,31
DATE_MONTH,Date (Month),Month,0.25,31
DATE_DAY,Date (Day),Day,0.25,31
DVER_1,ERROR,ERROR,ERROR,ERROR
ACID,ERROR,ERROR,ERROR,ERROR
BLV,ERROR,ERROR,ERROR,ERROR
EAI,ERROR,ERROR,ERROR,ERROR
PACK,ERROR,ERROR,ERROR,ERROR
AOAI,INDICATED ANGLE OF ATTACK,DEG,4,496
AOAC,CORRECTED ANGLE OF ATTACK,DEG,4,496
BAL1,BARO CORRECT ALTITUDE LSP,FEET,4,496
APUF,ERROR,ERROR,ERROR,ERROR
TOCW,ERROR,ERROR,ERROR,ERROR
BAL2,BARO CORRECT ALTITUDE LSP,FEET,4,496
WSHR,ERROR,ERROR,ERROR,ERROR
WOW,ERROR,ERROR,ERROR,ERROR
N2_1,CORE SPEED 1 LSP,%RPM,4,496
N2_2,CORE SPEED 2 LSP,%RPM,4,496
N2_3,CORE SPEED 3 LSP,%RPM,4,496
N2_4,CORE SPEED 4 LSP,%RPM,4,496
TAT,TOTAL AIR TEMPERATURE,DEG,1,124
SAT,STATIC AIR TEMPERATURE,DEG,1,124
N1T,N1 TARGET LSP,%RPM,4,496
N1C,N1 COMMAND LSP,%RPM,4,496
RUDD,RUDDER POSITION,DEG,2,248
FQTY_3,FUEL QUANTITY TANK 3 LSB,LSB,1,124
OIP_1,OIL PRESSURE 1,PSI,1,124
OIP_2,OIL PRESSURE 2,PSI,1,124
FQTY_4,FUEL QUANTITY TANK 4 LSB,LSB,1,124
CRSS,SELECTED COURSE,DEG,1,124
HDGS,SELECTED HEADING,DEG,1,124
ALTS,SELECTED ALTITUDE LSP,FEET,1,124
SNAP,ERROR,ERROR,ERROR,ERROR
CASS,SELECTED AIRSPEED,KNOTS,1,124
N1CO,ERROR,ERROR,ERROR,ERROR
VSPS,SELECTED VERTICAL SPEED,FT/MIN,1,124
MNS,SELECTED MACH,MMACH,1,124
MSQT_1,ERROR,ERROR,ERROR,ERROR
VMODE,ERROR,ERROR,ERROR,ERROR
LMOD,ERROR,ERROR,ERROR,ERROR
A_T,ERROR,ERROR,ERROR,ERROR
CCPC,CONTROL COLUMN POSITION CAPT,COUNTS,2,248
CCPF,CONTROL COLUMN POSITION F/O,COUNTS,2,248
RUDP,RUDDER PEDAL POSITION,COUNTS,2,248
CWPC,CONTROL WHEEL POSITION CAPT,COUNTS,2,248
CWPF,CONTROL WHEEL POSITION F/O,COUNTS,2,248
OIP_3,OIL PRESSURE 3,PSI,1,124
OIP_4,OIL PRESSURE 4,PSI,1,124
LOC,LOCALIZER DEVIATION,DDM,1,124
GLS,GLIDESLOPE DEVIATION,DDM,1,124
LONP,LONGITUDE POSITION LSP,DEG,1,124
ABRK,AIRBRAKE POSITION,DEG,1,124
AIL_1,AILERON POSITION LH,DEG,1,124
AIL_2,AILERON POSITION RH,DEG,1,124
SPL_1,ROLL SPOILER LEFT,DEG,1,124
SPL_2,ROLL SPOILER RIGHT,DEG,1,124
ESN_4,ENGINE SERIAL NUMBER 4 LSP,UNITS,0.25,31
ECYC_1,ENGINE CYCLE 1 LSP,HOURS,0.25,31
ECYC_2,ENGINE CYCLE 2 LSP,HOURS,0.25,31
ELEV_1,ELEVATOR POSITION LEFT,DEG,1,124
ELEV_2,ELEVATOR POSITION RIGHT,DEG,1,124
FLAP,T.E. FLAP POSITION,COUNTS,1,124
PTRM,PITCH TRIM POSITION,DEG,1,124
HF1,ERROR,ERROR,ERROR,ERROR
HF2,ERROR,ERROR,ERROR,ERROR
SMKB,ERROR,ERROR,ERROR,ERROR
SPLY,ERROR,ERROR,ERROR,ERROR
SPLG,ERROR,ERROR,ERROR,ERROR
FRMC,ERROR,ERROR,ERROR,ERROR
DVER_2,ERROR,ERROR,ERROR,ERROR
ESN_3,ENGINE SERIAL NUMBER 3 LSP,UNITS,0.25,31
BPGR_1,BRAKE PRESSURE LH GREEN,PSI,1,124
BPGR_2,BRAKE PRESSURE RH GREEN,PSI,1,124
BPYR_1,BRAKE PRESSURE LH YELLOW,PSI,1,124
BPYR_2,BRAKE PRESSURE RH YELLOW,PSI,1,124
ECYC_3,ENGINE CYCLE 3 LSP,HOURS,0.25,31
ECYC_4,ENGINE CYCLE 4 LSP,HOURS,0.25,31
EHRS_1,ENGINE HOURS 1 LSP,HOURS,0.25,31
TCAS,ERROR,ERROR,ERROR,ERROR
GPWS,ERROR,ERROR,ERROR,ERROR
TMAG,ERROR,ERROR,ERROR,ERROR
TAI,ERROR,ERROR,ERROR,ERROR
WAI_1,ERROR,ERROR,ERROR,ERROR
WAI_2,ERROR,ERROR,ERROR,ERROR
DWPT,ERROR,ERROR,ERROR,ERROR
OIPL,ERROR,ERROR,ERROR,ERROR
FADF,ERROR,ERROR,ERROR,ERROR
FADS,ERROR,ERROR,ERROR,ERROR
EHRS_4,ENGINE HOURS 4 LSP,HOURS,0.25,31
EHRS_3,ENGINE HOURS 3 LSP,HOURS,0.25,31
EHRS_2,ENGINE HOURS 2 LSP,HOURS,0.25,31
TMODE,ERROR,ERROR,ERROR,ERROR
ATEN,ERROR,ERROR,ERROR,ERROR
LATP,LATITUDE POSITION LSP,DEG,1,124
FIRE_1,ERROR,ERROR,ERROR,ERROR
FIRE_2,ERROR,ERROR,ERROR,ERROR
FIRE_3,ERROR,ERROR,ERROR,ERROR
FIRE_4,ERROR,ERROR,ERROR,ERROR
FGC3,ERROR,ERROR,ERROR,ERROR
ILSF,ERROR,ERROR,ERROR,ERROR
ESN_1,ENGINE SERIAL NUMBER 1 LSP,UNITS,0.25,31
ESN_2,ENGINE SERIAL NUMBER 2 LSP,UNITS,0.25,31
